izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Kanalska dolina;Kanal;Kanal;Slovenija;SI;46.08741;13.63488;3198354.0;ročno potrjeno;Kanal, Občina Kanal ob Soči, Slovenija
Kandija pri Novem mestu;Novo mesto;Novo mesto;Slovenija;SI;45.80397;15.16886;3194351.0;ročno potrjeno;Novo mesto, Mestna občina Novo mesto, Slovenija
Kastvo;Kastovo;Kastovo;Rusija;RU;58.15402;44.46557;551822.0;ročno potrjeno;Kastovo, Rusija
Kavkazija;Kavkaz;Kavkaz;Gruzija;GE;42.5;45.0;573081.0;ročno potrjeno;Kavkaz, Gruzija
Knjaževac;Knjaževac;Knjazevac;Srbija;RS;43.56634;22.25701;6619277.0;ročno potrjeno;Knjazevac, Zaječar, Central Serbia, Srbija
Kostrivnica pri Rogaški Slatini;Kostrivnica;Zgornja Kostrivnica;Slovenija;SI;46.26306;15.59389;3186539.0;ročno potrjeno;Zgornja Kostrivnica, Občina Rogaška Slatina, Slovenija
Kočevska Reka pri Kočevju;Kočevska Reka;Kočevska Reka;Slovenija;SI;45.57639;14.79694;3197941.0;ročno potrjeno;Kočevska Reka, Občina Kočevje, Slovenija
Kožana na Goriškem;Kožana;Kozana;Slovenija;SI;45.99278;13.55028;3197494.0;ročno potrjeno;Kozana, Občina Brda, Slovenija
Kraljevo;Kraljevo;Kraljevo;Srbija;RS;43.72583;20.68944;789107.0;ročno potrjeno;Kraljevo, Raška, Central Serbia, Srbija
Krčevina pri Mariboru;Krčevina;Krčevina;Slovenija;SI;46.43301;16.20914;3197323.0;ročno potrjeno;Krčevina, Občina Ormož, Slovenija
Krška vas;Krška vas;Krška vas;Slovenija;SI;45.9;15.56667;3197148.0;ročno potrjeno;Krška vas, Občina Brežice, Slovenija
Kukori;Kukor;Kukor;Bosna in Hercegovina;BA;43.85667;18.56111;3266075.0;ročno potrjeno;Kukor, Republika Srpska, Bosna in Hercegovina
Kumanovo;Kumanovo;Kumanovo;Severna Makedonija;MK;42.13279;21.71585;788886.0;ročno potrjeno;Kumanovo, Kumanovo, Severna Makedonija
Kupčinci v Prekmurju;Prekmurje;Prekmurje;Slovenija;SI;46.66667;16.16667;3192542.0;ročno potrjeno;Prekmurje, Mestna občina Murska Sobota, Slovenija
Lipnica;Lipnica;Lipnitsa;Bolgarija;BG;43.59363;23.8151;729613.0;ročno potrjeno;Lipnitsa, Obshtina Mizia, Vratsa, Bolgarija
Log pri Lobnici;Log;Občina Log - Dragomer;Slovenija;SI;46.01537;14.37474;8133582.0;ročno potrjeno;Občina Log - Dragomer, Občina Log - Dragomer, Slovenija
Log pri Sevnici;Sevnica;Sevnica;Slovenija;SI;46.00792;15.31646;3190950.0;ročno potrjeno;Sevnica, Občina Sevnica, Slovenija
